character,betweenness,rank
Demelza Robins,0.0007093524582308618,246
Eileen Prince,0.0006703130227616885,247
Cliodna,0.0006284418146217186,248
Pyotr Vulchanov,0.0006209756309757324,249
Sally-Anne Perks,0.0006184439683809253,250
Everard,0.0005972869865508291,251
Albus Potter,0.0005803175111697827,252
Alice Longbottom,0.0005720923550720003,253
Peregrine Derrick,0.0005697875339887791,254
Mullet,0.000550708601340788,255
Bodrod the Bearded,0.0005370054571953364,256
Benjy Fenwick,0.000531602602098178,257
Aragog,0.0005296667464340587,258
Romilda Vane,0.0005012858764080558,259
Malcolm Baddock,0.00048246024542213,260
Emmeline Vance,0.00047613594469489326,261
Borgin,0.0004693611142967872,262
Cadwallader,0.00046548566882469145,263
Millicent Bulstrode,0.00045670916657986364,264
Ivan Volkov,0.00044785008977992304,265
Tobias Snape,0.0004392391958617413,266
Mykew Gregorovitch,0.0004282398147389713,267
Eleanor Branstone,0.00042108016002725805,268
Skower,0.00041314475421839537,269
Irma Pince,0.0004108198105134121,270
Vindictus Viridian,0.0004046255978841787,271
Caradoc Dearborn,0.0003863113168793226,272
Connolly,0.0003798192960221496,273
Clara Ivanova,0.0003787201703255984,274
Hestia Jones,0.0003693105096420208,275
Enid (disambiguation),0.0003692636584856103,276
Snatchers,0.0003623201285415193,277
Marietta Edgecombe,0.00036228661334091546,278
Tofty,0.00034319541377775546,279
Gwenog Jones,0.00033400638800564413,280
Jugson,0.00032691600033109,281
Wilbert Slinkhard,0.0003215024424990824,282
Cole,0.0003168323590997653,283
Reginald Cattermole,0.00031297481118933705,284
Arnold,0.0002933055283251629,285
Edgar Bones,0.0002820463991591785,286
Betty Braithwaite,0.000271587928440002,287
Firenze,0.00026859172530748876,288
Rosier,0.0002677782185287133,289
Fabian Prewett,0.0002635843204168199,290
Nagini,0.00025495217995263983,291
Harold Dingle,0.00024118470513754615,292
Stubby Boardman,0.0002409424379899135,293
Amelia Bones,0.000234137297073677,294
Michael Corner,0.0002289119960735386,295
Florence,0.00021765657490658395,296
Elfrida Cragg,0.0002083002042315854,297
Owen Cauldwell,0.00020333356569550914,298
Hepzibah Smith,0.0002020923027882961,299
Derek,0.00020027825037986676,300
Bertie Bott,0.00019653720803493473,301
Golgomath,0.00019653720803493473,302
Galatea Merrythought,0.00017911590005468216,303
Bertram Aubrey,0.00017882179642805774,304
Hannah Abbott,0.00017588724978058012,305
Beedle the Bard,0.00017173102384444579,306
Golpalott,0.0001526481753711571,307
Regulus Black,0.00014675475445535583,308
Fawcett,0.00014488518474048732,309
Lily Moon,0.00014155768736757687,310
Williamson,0.00014115754071150204,311
Melinda Bobbin,0.0001305026277710566,312
Stebbins (Potter-era),0.00011999151821832978,313
Eric Munch,0.00011930379573552267,314
Doris Crockford,0.00011735463085632055,315
