char_a,char_b,common_neighbors_after_book5,is_dead_character,is_historical_figure,is_narrative_exit,genuine_refusal
Cho Chang,Gregory Goyle,22,False,False,False,True
Remus Lupin,Vernon Dursley,22,False,False,False,True
Cornelius Fudge,Sybill Trelawney,22,False,False,False,True
Lavender Brown,Severus Snape,22,False,False,False,True
Helga Hufflepuff,Vincent Crabbe,22,False,True,False,False
Igor Karkaroff,Neville Longbottom,22,False,False,False,True
Lee Jordan,Rolanda Hooch,22,False,False,False,True
Bartemius Crouch Senior,Cho Chang,22,True,False,False,False
Alastor Moody,Rowena Ravenclaw,22,False,True,False,False
Katie Bell,Neville Longbottom,22,False,False,False,True
Cho Chang,Gilderoy Lockhart,21,False,False,True,False
Filius Flitwick,Lucius Malfoy,21,False,False,False,True
Ernest Macmillan,Severus Snape,21,False,False,False,True
Father Christmas,Ludovic Bagman,21,False,True,False,False
Cho Chang,Sybill Trelawney,21,False,False,False,True
Cedric Diggory,Rolanda Hooch,21,True,False,False,False
Filius Flitwick,Gregory Goyle,21,False,False,False,True
Lee Jordan,Sirius Black,21,True,False,False,False
Buckbeak,Minerva McGonagall,21,False,False,False,True
Parvati Patil,Percy Weasley,21,False,False,True,False
Cornelius Fudge,Hedwig,21,False,False,False,True
Dolores Umbridge,Marcus Flint,21,False,False,False,True
Luna Lovegood,Poppy Pomfrey,21,False,False,False,True
Angelina Johnson,Rowena Ravenclaw,21,False,True,False,False
Neville Longbottom,Rolanda Hooch,21,False,False,False,True
Cornelius Fudge,Seamus Finnigan,21,False,False,False,True
Oliver Wood,Poppy Pomfrey,21,False,False,True,False
Oliver Wood,Seamus Finnigan,21,False,False,True,False
Alicia Spinnet,Gregory Goyle,21,False,False,False,True
Ludovic Bagman,Remus Lupin,21,False,False,False,True
Parvati Patil,Poppy Pomfrey,21,False,False,False,True
Peeves,Salazar Slytherin,21,False,True,False,False
Poppy Pomfrey,Seamus Finnigan,21,False,False,False,True
Dean Thomas,Rowena Ravenclaw,21,False,True,False,False
Rowena Ravenclaw,Seamus Finnigan,21,False,True,False,False
Rowena Ravenclaw,Viktor Krum,21,False,True,False,False
Salazar Slytherin,Sybill Trelawney,21,False,True,False,False
Dean Thomas,Filius Flitwick,21,False,False,False,True
Ludovic Bagman,Salazar Slytherin,21,False,True,False,False
Luna Lovegood,Percy Weasley,21,False,False,True,False
Lucius Malfoy,Poppy Pomfrey,21,False,False,False,True
Colin Creevey,Rowena Ravenclaw,21,False,True,False,False
Colin Creevey,Gregory Goyle,21,False,False,False,True
Ernest Macmillan,George Weasley,21,False,False,False,True
Buckbeak,Fred Weasley,21,False,False,False,True
Ginevra Weasley,Peeves,21,False,False,False,True
Ernest Macmillan,Fred Weasley,21,False,False,False,True
Godric Gryffindor,Prime Minister,21,False,True,False,False
Draco Malfoy,Vernon Dursley,21,False,False,False,True
Draco Malfoy,Olympe Maxime,21,False,False,False,True
Bartemius Crouch Senior,Vincent Crabbe,21,True,False,False,False
Lee Jordan,Vincent Crabbe,21,False,False,False,True
Hedwig,Poppy Pomfrey,21,False,False,False,True
Dolores Umbridge,William Weasley,21,False,False,False,True
Bartemius Crouch Senior,Filius Flitwick,21,True,False,False,False
Katie Bell,Vincent Crabbe,21,False,False,False,True
Arthur Weasley,Ludovic Bagman,21,False,False,False,True
Lee Jordan,Poppy Pomfrey,21,False,False,False,True
Cho Chang,Molly Weasley,21,False,False,False,True
Crookshanks,Draco Malfoy,20,False,False,False,True
Dobby,Parvati Patil,20,False,False,False,True
Cornelius Fudge,Dean Thomas,20,False,False,False,True
Cornelius Fudge,Rowena Ravenclaw,20,False,True,False,False
Dobby,Filius Flitwick,20,False,False,False,True
Dobby,Vincent Crabbe,20,False,False,False,True
Cornelius Fudge,Fleur Delacour,20,False,False,False,True
Colin Creevey,Filius Flitwick,20,False,False,False,True
Dean Thomas,Hedwig,20,False,False,False,True
Viktor Krum,William Weasley,20,False,False,False,True
Argus Filch,Viktor Krum,20,False,False,False,True
Lucius Malfoy,William Weasley,20,False,False,False,True
Helga Hufflepuff,Sybill Trelawney,20,False,True,False,False
Bartemius Crouch Senior,Lucius Malfoy,20,True,False,False,False
Igor Karkaroff,Molly Weasley,20,False,False,False,True
Parvati Patil,Vincent Crabbe,20,False,False,False,True
Lavender Brown,Sirius Black,20,True,False,False,False
Lee Jordan,Neville Longbottom,20,False,False,False,True
Argus Filch,William Weasley,20,False,False,False,True
Father Christmas,Parvati Patil,20,False,True,False,False
Alicia Spinnet,Helga Hufflepuff,20,False,True,False,False
Neville Longbottom,Rita Skeeter,20,False,False,False,True
Pansy Parkinson,Sirius Black,20,True,False,False,False
Argus Filch,Lucius Malfoy,20,False,False,False,True
Argus Filch,Helga Hufflepuff,20,False,True,False,False
Molly Weasley,Olympe Maxime,20,False,False,False,True
Molly Weasley,Prime Minister,20,False,False,False,True
Angelina Johnson,Father Christmas,20,False,True,False,False
Oliver Wood,Pansy Parkinson,20,False,False,True,False
