book,character,global_degree,community_with_harry,community_size_with_harry,within_degree_with_harry,community_without_harry,community_size_without_harry,within_degree_without_harry
5,Rose Zeller,3,0,76,2,3,32,1
5,Mulciber (Marauder-era),4,5,6,1,1,79,4
5,Peregrine Derrick,3,4,44,2,2,32,2
5,Benjy Fenwick,4,2,54,4,1,79,4
5,Patricia Stimpson,2,2,54,2,5,10,2
5,Jugson,8,5,6,3,1,79,7
5,Septima Vector,1,1,39,1,0,48,1
5,Daphne Greengrass,3,4,44,2,2,32,2
5,Miles Bletchley,4,4,44,2,2,32,2
5,Warty Harris,1,2,54,1,1,79,1
5,Miranda Goshawk,2,2,54,2,3,32,1
5,Wilhelmina Grubbly-Plank,2,0,76,2,3,32,1
5,Frank Longbottom,3,4,44,2,1,79,1
5,Marlene McKinnon,5,4,44,2,1,79,3
5,Millicent Bagnold,3,0,76,3,1,79,3
5,Janus Thickey,1,1,39,1,0,48,1
5,Elphias Doge,3,2,54,2,1,79,2
5,Golgomath,2,1,39,2,0,48,2
5,Elfrida Cragg,2,2,54,2,1,79,2
5,Eloise Midgen,1,1,39,1,0,48,1
5,Gordon,1,0,76,1,4,5,1
5,Fat Friar,1,4,44,1,2,32,1
5,Barry Ryan,1,2,54,1,5,10,1
5,Hope Howell,1,1,39,1,0,48,1
5,Hermes,2,1,39,2,0,48,2
5,Araminta Meliflua Black,1,0,76,1,1,79,1
5,Gregory the Smarmy,1,0,76,1,-1,0,0
5,Malcolm,1,0,76,1,-1,0,0
5,Marsh,1,0,76,1,-1,0,0
5,Prentice,1,0,76,1,-1,0,0
5,Bloody Baron,1,0,76,1,3,32,1
5,Caradoc Dearborn,2,2,54,1,1,79,1
7,Hermione Granger,5324,0,48,4343,5,24,1864
7,Ronald Weasley,4822,0,48,3901,5,24,1757
7,Tom Riddle,1511,0,48,1058,1,41,246
7,Albus Dumbledore,1341,8,53,391,9,53,383
7,Rubeus Hagrid,432,0,48,313,4,44,113
7,Ginevra Weasley,579,7,38,157,4,44,168
7,Severus Snape,804,8,53,411,9,53,411
7,Luna Lovegood,573,3,24,139,1,41,160
7,Aberforth Dumbledore,464,8,53,128,9,53,129
7,Remus Lupin,541,7,38,169,4,44,192
7,Griphook,446,0,48,353,5,24,145
7,Sirius Black,342,6,5,38,7,5,38
7,Kreacher,401,6,5,122,7,5,122
7,Lily J. Potter,408,8,53,295,9,53,297
7,Molly Weasley,378,7,38,136,4,44,150
7,Bathilda Bagshot,229,8,53,83,9,53,83
7,Godric Gryffindor,364,8,53,124,9,53,125
7,Ariana Dumbledore,254,8,53,139,9,53,139
7,Dobby,189,3,24,36,1,41,46
7,Xenophilius Lovegood,321,0,48,253,5,24,155
7,Draco Malfoy,246,1,8,72,1,41,99
7,Fleur Delacour,440,7,38,184,4,44,187
7,William Weasley,416,7,38,192,4,44,195
7,Neville Longbottom,273,3,24,44,1,41,53
7,Garrick Ollivander,260,0,48,190,1,41,83
7,Regulus Black,225,6,5,138,7,5,138
7,Fred Weasley,348,7,38,187,4,44,199
7,Rufus Scrimgeour,208,0,48,150,5,24,65
7,George Weasley,271,7,38,154,4,44,163
7,Bellatrix Lestrange,269,3,24,26,1,41,81
7,Fenrir Greyback,152,0,48,106,1,41,39
7,Minerva McGonagall,195,3,24,84,1,41,97
7,Nymphadora Tonks,245,7,38,114,4,44,117
7,Mykew Gregorovitch,139,0,48,133,1,41,49
7,Arthur Weasley,253,7,38,98,4,44,103
7,Dean Thomas,234,3,24,59,1,41,68
7,Phineas Nigellus Black,131,0,48,109,5,24,51
7,Vincent Crabbe,168,1,8,72,1,41,77
7,Gellert Grindelwald,205,8,53,137,9,53,137
7,Dudley Dursley,66,0,48,55,9,53,11
7,Mundungus Fletcher,153,6,5,27,7,5,27
7,Hedwig,64,0,48,56,4,44,15
7,Lucius Malfoy,143,1,8,16,1,41,76
7,Gregory Goyle,137,1,8,68,1,41,70
7,Kingsley Shacklebolt,153,7,38,50,4,44,55
7,Kendra Dumbledore,112,8,53,50,9,53,50
7,Rita Skeeter,132,8,53,88,9,53,88
7,Helena Ravenclaw,61,0,48,50,1,41,17
7,Corban Yaxley,136,2,14,35,0,14,35
7,Muriel,156,8,53,78,9,53,79
7,Arcturus Black III,72,6,5,41,7,5,41
7,Mary Cattermole,113,2,14,56,0,14,56
7,Ted,97,7,38,25,4,44,35
7,Albus Potter,112,7,38,29,4,44,30
7,James Potter I,114,8,53,54,9,53,54
7,Mark Evans,95,8,53,66,9,53,66
7,Viktor Krum,65,0,48,58,1,41,30
7,Elphias Doge,105,8,53,75,9,53,75
7,Alastor Moody,77,7,38,25,4,44,26
7,Dolores Umbridge,111,2,14,56,0,14,56
7,Nagini,35,0,48,31,1,41,10
7,Bogrod,69,0,48,69,5,24,46
7,Travers,66,0,48,55,5,24,32
7,Petunia Dursley,93,8,53,59,9,53,64
7,Rowena Ravenclaw,47,3,24,11,1,41,14
7,Ignotus Peverell,77,8,53,30,9,53,30
7,Beedle the Bard,63,0,48,49,5,24,35
7,Snatchers,61,0,48,55,5,24,26
7,Vernon Dursley,46,8,53,19,9,53,21
7,Filius Flitwick,87,3,24,39,1,41,46
7,Cho Chang,35,3,24,10,1,41,6
7,Fat Lady,21,0,48,18,9,53,3
7,Seamus Finnigan,36,3,24,7,1,41,10
7,Amycus Carrow,56,3,24,35,1,41,43
7,Albert Runcorn,76,2,14,34,0,14,34
7,Father Christmas,53,3,24,9,1,41,9
7,Pius Thicknesse,38,1,8,3,1,41,9
7,Pomona Sprout,48,3,24,29,1,41,31
7,Dirk Cresswell,65,7,38,31,4,44,31
7,Percy Weasley,67,7,38,26,4,44,26
7,Helga Hufflepuff,33,0,48,26,5,24,12
7,Ernest Macmillan,54,3,24,43,2,5,42
7,Michael Corner,60,3,24,43,2,5,36
7,Hestia Jones,30,8,53,17,9,53,18
7,Horace Slughorn,45,3,24,17,1,41,26
7,Lee Jordan,44,7,38,17,4,44,17
7,Padma Patil,44,3,24,38,2,5,35
7,Terry Boot,52,3,24,46,2,5,42
7,Betty Braithwaite,22,8,53,19,9,53,19
7,Alecto Carrow,29,3,24,16,1,41,19
7,Rose Granger-Weasley,37,8,53,24,9,53,24
7,Anthony Goldstein,53,3,24,42,2,5,41
7,Hugo Granger-Weasley,31,8,53,23,9,53,23
7,Reginald Cattermole,44,2,14,17,0,14,17
7,Fang,18,0,48,18,4,44,11
7,Bilius,23,8,53,6,4,44,5
7,Dedalus Diggle,23,8,53,8,9,53,10
7,Peter Pettigrew,35,8,53,11,9,53,11
7,Sorting Hat,48,8,53,33,9,53,33
7,John Dawlish,29,7,38,16,4,44,16
7,Antonin Dolohov,48,2,14,13,0,14,13
7,Stanley Shunpike,26,7,38,6,4,44,6
7,Salazar Slytherin,53,8,53,20,9,53,20
7,Igor Karkaroff,21,8,53,20,9,53,20
7,James Potter II,29,7,38,22,4,44,22
7,Prime Minister,56,2,14,10,0,14,10
7,Mulciber (Marauder-era),25,8,53,23,9,53,23
7,Peeves,22,3,24,10,1,41,10
7,Charles Weasley,36,7,38,20,4,44,23
7,Selwyn,18,0,48,16,5,24,6
7,Narcissa Malfoy,43,1,8,11,1,41,22
7,Scabior,20,0,48,18,1,41,3
7,Argus Filch,19,3,24,15,1,41,15
7,Avery (Marauder-era),22,8,53,20,9,53,20
7,Perkins,11,0,48,9,4,44,2
7,Pigwidgeon,12,0,48,11,4,44,3
7,Merlin,17,0,48,13,5,24,11
7,Mafalda Hopkirk,23,2,14,5,0,14,5
7,Borgin,8,0,48,8,1,41,6
7,Gornuk,22,7,38,9,4,44,9
7,Alfred Cattermole,17,2,14,17,0,14,17
7,Ellie Cattermole,14,2,14,14,0,14,14
7,Maisie Cattermole,14,2,14,14,0,14,14
7,Victoire Weasley,6,7,38,5,4,44,5
7,Hannah Abbott,20,7,38,7,4,44,7
7,Enid Smeek,8,8,53,8,9,53,8
7,Marvolo Gaunt,18,0,48,15,5,24,8
7,Will,27,7,38,5,4,44,7
7,Crookshanks,8,0,48,8,5,24,7
7,Gabrielle Delacour,17,7,38,11,4,44,11
7,Babbitty Rabbity,9,0,48,9,5,24,5
7,Arcus,6,4,7,6,3,7,6
7,Livius,6,4,7,6,3,7,6
7,Grawp,14,0,48,12,1,41,6
7,Barnabas Deverill,7,4,7,7,3,7,7
7,Loxias,8,4,7,8,3,7,8
7,Ivor Dillonsby,6,8,53,6,9,53,6
7,Roger Davies,7,8,53,5,9,53,5
7,Percival Dumbledore,10,8,53,8,9,53,8
7,Fawkes,5,8,53,5,9,53,5
7,Mary Macdonald,7,8,53,7,9,53,7
7,Antioch Peverell,6,8,53,6,9,53,6
7,Aragog,5,8,53,2,9,53,2
7,Apolline Delacour,3,7,38,3,4,44,3
7,Mungo Bonham,14,8,53,8,9,53,8
7,Zacharias Smith,6,7,38,1,4,44,1
7,Cadmus Peverell,6,8,53,6,9,53,6
7,Parvati Patil,10,2,14,3,0,14,3
7,Lancelot (Healer),8,8,53,8,9,53,8
7,Emeric the Evil,8,8,53,6,9,53,6
7,Armando Dippet,3,8,53,1,9,53,1
7,Celestina Warbeck,4,7,38,1,5,24,3
7,Barry Ryan,3,8,53,1,9,53,1
7,Fabian Prewett,6,7,38,3,4,44,3
7,Sybill Trelawney,3,8,53,2,9,53,2
7,Dragomir Gorgovitch,7,8,53,2,5,24,5
7,Thorfinn Rowle,8,1,8,1,1,41,3
7,Chudley Cannons,6,8,53,4,5,24,3
7,Bletchley,4,2,14,1,0,14,1
7,Alicia Spinnet,8,7,38,6,4,44,6
7,Bernie,2,0,48,2,5,24,2
7,Godelot,6,4,7,5,3,7,5
7,Hereward,3,4,7,3,3,7,3
7,Cadogan,2,0,48,2,-1,0,0
7,Buckbeak,3,0,48,3,1,41,3
7,Nicolas Flamel,5,8,53,5,9,53,5
7,Cedric Diggory,3,0,48,3,1,41,1
7,Lavender Brown,4,0,48,4,1,41,2
7,Walden Macnair,4,2,14,1,0,14,1
7,Colin Creevey,8,7,38,4,4,44,4
7,Katie Bell,8,7,38,7,4,44,7
7,Poppy Pomfrey,3,3,24,3,1,41,3
7,Cornelius Fudge,3,8,53,1,9,53,1
7,Jimmy Peakes,2,7,38,1,4,44,1
7,Leprechaun,1,0,48,1,5,24,1
7,Cuthbert Binns,2,0,48,2,5,24,1
7,Angelina Johnson,7,7,38,6,4,44,6
7,Augustus Rookwood,10,1,8,3,1,41,5
7,Blast-Ended Skrewt,3,8,53,1,9,53,1
7,Rodolphus Lestrange,4,7,38,1,9,53,1
7,Bowman Wright,1,8,53,1,9,53,1
7,Ragnuk,2,8,53,1,9,53,1
7,Quirinus Quirrell,1,8,53,1,9,53,1
7,Wendelin the Weird,2,5,2,1,6,2,1
7,Oliver Wood,8,7,38,7,4,44,7
7,Charity Burbage,1,0,48,1,-1,0,0
7,Odo,1,0,48,1,4,44,1
7,Norberta,1,7,38,1,4,44,1
7,Bartemius Crouch Senior,3,0,48,3,4,44,1
7,Gwenog Jones,1,5,2,1,6,2,1
7,Bandon Banshee,1,0,48,1,5,24,1
7,Firenze,2,3,24,1,1,41,2
7,Gamp,1,0,48,1,5,24,1
7,Andromeda Tonks,2,7,38,2,4,44,2
7,Dexter Fortescue,2,9,2,1,8,2,1
7,Dilys Derwent,1,9,2,1,8,2,1
7,Adalbert Waffling,2,8,53,2,9,53,2
7,Mrs Norris,1,0,48,1,-1,0,0
7,Egbert the Egregious,3,4,7,1,3,7,1
7,Hepzibah Smith,2,0,48,2,1,41,1
